generation;Final Drive;Roll Radius;Gear 3;Gear 4;Gear 5;Consumption;Elasticity 3;Elasticity 4;Elasticity 5
0;1.5690293474575492;0.2566415050917073;1.974057789026803;0.921010136780148;0.6835894874067268;1.092945;26.32;120.88;212.9
0;4.069029347457549;0.3121970606472628;1.5017713055885449;1.3495815653515764;1.0740577890268022;1.582032;10.0;12.39;19.57
0;3.1315293474575494;0.4121970606472629;1.674057789026803;1.1352958510658624;0.9563167601339995;1.216769;23.71;51.49;72.56
0;5.631529347457549;0.21219706064726285;1.7744985783158178;1.3740577890268029;0.5230509531066786;2.488295;2.34;3.08;19.9
0;1.8815293474575492;0.37886372731392953;1.5944795245352499;1.2290440328612724;0.7740577890268023;1.058871;61.08;102.83;243.11
0;4.381529347457549;0.4788637273139295;1.914057789026803;1.9108622146794543;1.808765238820964;1.529742;12.5;12.54;14.0
0;2.5065293474575494;0.2788637273139295;1.3801938102495357;1.0140577890268023;0.819953123770363;1.24232;24.92;46.12;70.51
0;5.006529347457549;0.34553039398059615;1.6381349419521813;1.6140577890268029;0.7373366673923929;1.6272;6.76;6.97;33.58
0;1.2565293474575492;0.44553039398059613;1.3654076692249086;1.3140577890268028;1.1659080959638215;1.134188;242.47;256.62;300.68
0;3.7565293474575494;0.24553039398059617;0.9516223816781072;0.7140577890268024;0.5472258510430904;1.427844;18.09;32.12;54.65
1;1.9629326746735514;0.39017008194787595;1.6426723974634734;1.19559699678818;0.7666562094141436;1.057453;56.08;105.89;241.89
1;1.0470317579889479;0.40907847081579374;1.369318205964583;1.283511900441012;1.239139876043292;1.149393;277.31;301.02;313.57
1;4.1086072347664295;0.3069634135220457;1.4344947126864767;1.2725983959952287;1.119312278392651;1.600781;10.4;13.21;17.08
1;4.8570436006742685;0.3475031362955111;1.6813687532913832;1.505862327072729;0.7282305295706977;1.584035;6.9;8.65;37.0
1;2.3560475405913834;0.3020857551995222;1.3590605633446282;0.9826104624722025;0.8432948028186924;1.177021;34.12;65.21;88.54
1;3.7473041035067034;0.24305504777820353;1.0452412760716454;0.9905249796479894;0.9104553129295632;1.587566;14.76;16.44;19.46
1;4.505295849572346;0.4797325706677703;1.9391845128117815;1.8745207613687744;1.7811022868907294;1.544486;11.56;12.37;13.7
1;4.5273084746370325;0.4800781466737125;1.9566671532637827;1.8151139919857537;1.7652856372091648;1.541974;11.26;13.08;13.83
